36
300,Bangkas Brgy Hall
301,Prk 4 Bangkas
302,Libby-Lubogan JCT
304,Toril Gallera
305,Crossing Bayabas
306,Vales Junction
307,Pepsi Cola Bottling
308,Better Living Subdivision
309,Bago Crossing
310,Puan Crossing
311,Ulas Crossing
312,Royal Valley Bangkal
313,Boundary Matina-Talomo
314,Matina Brgy.-Hall
315,La Suerte Gallera
119,Tulip Drive
317,Malayan College
117,Bangkerohan
319,Apo View Hotel
115,Roxas Avenue
113,Ecoland Terminal Crossing
112,SM CITY
111,ABS-CBN Junction
110,Matina Crossing
312,Royal Valley Bangkal
311,Ulas Crossing
310,Puan Crossing
309,Bago Crossing
308,Better Living Subdivision
307,Pepsi Cola Bottling
306,Vales Junction
305,Crossing Bayabas
304,Toril Gallera
302,Libby-Lubogan JCT
301,Prk 4 Bangkas
300,Bangkas Brgy Hall
